date,adj_close,open,close,name,source
1926-07-01,0.0425498,,16.4277,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-02,0.042754,,16.5038,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-06,0.0428267,,16.5216,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-07,0.0428695,,16.5436,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-08,0.0429767,,16.5761,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-09,0.0426501,,16.4518,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-12,0.0429487,,16.5556,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-13,0.0431635,,16.6379,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-14,0.0431764,,16.6372,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-15,0.0429865,,16.567,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-16,0.0432186,,16.6477,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-19,0.0433915,,16.7174,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-20,0.0431659,,16.6233,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-21,0.042894,,16.5202,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-22,0.0425851,,16.3984,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-23,0.0425809,,16.3927,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-26,0.0427465,,16.4546,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-27,0.0429517,,16.5221,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-28,0.0434327,,16.7137,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-29,0.0436282,,16.784,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-07-30,0.0437285,,16.8194,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-02,0.0443295,,17.0462,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-03,0.0445423,,17.1223,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-04,0.0443596,,17.055,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-05,0.0442975,,17.0197,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-06,0.0445943,,17.1364,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-09,0.0448935,,17.2481,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-10,0.0442515,,16.991,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-11,0.0439904,,16.8921,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-12,0.0444039,,17.0499,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-13,0.0447103,,17.1708,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-16,0.0450503,,17.2904,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-17,0.0446133,,17.1191,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-18,0.0447471,,17.1694,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-19,0.0444742,,17.0647,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-20,0.0444075,,17.0308,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-23,0.0447723,,17.1704,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-24,0.0443828,,17.0181,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-25,0.0442585,,16.9705,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-26,0.0444887,,17.051,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-27,0.0446444,,17.1011,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-30,0.044935,,17.215,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-08-31,0.0452181,,17.3259,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-01,0.0454578,,17.4173,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-02,0.0454441,,17.3997,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-03,0.0456759,,17.4871,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-07,0.0459591,,17.5991,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-08,0.0457339,,17.5057,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-09,0.045711,,17.4904,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-10,0.0453271,,17.3475,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-13,0.0451186,,17.2522,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-14,0.0455427,,17.4212,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-15,0.0454334,,17.3662,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-16,0.0453561,,17.3378,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-17,0.0449434,,17.1794,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-20,0.0449908,,17.1933,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-21,0.0451258,,17.2428,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-22,0.0450852,,17.2229,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-23,0.0452204,,17.2693,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-24,0.0455098,,17.3736,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-27,0.0455597,,17.3976,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-28,0.0455643,,17.3876,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-29,0.0454276,,17.3297,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-09-30,0.0455866,,17.3963,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-10-01,0.0459285,,17.5256,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-10-04,0.045263,,17.2606,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-10-05,0.0447697,,17.0687,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-10-06,0.0445637,,16.9902,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-10-07,0.0442206,,16.8523,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-10-08,0.0444859,,16.9587,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-10-11,0.043768,,16.6782,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-10-13,0.0440744,,16.7853,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-10-14,0.0444975,,16.9469,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-10-15,0.0437054,,16.6412,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-10-18,0.0437162,,16.6419,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-10-19,0.043266,,16.4614,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
1926-10-20,0.0432097,,16.4426,FF-HI30-TR,famafrench-vw(adj_close)+sp500-divyield(close)
