date,adj_close,name,source
2009-06-25,1.12978,UPRO,tiingo
2009-06-26,1.12393,UPRO,tiingo
2009-06-29,1.15581,UPRO,tiingo
2009-06-30,1.12822,UPRO,tiingo
2009-07-01,1.14033,UPRO,tiingo
2009-07-02,1.04622,UPRO,tiingo
2009-07-06,1.04908,UPRO,tiingo
2009-07-07,0.983743,UPRO,tiingo
2009-07-08,0.984915,UPRO,tiingo
2009-07-09,0.991032,UPRO,tiingo
2009-07-10,0.98153,UPRO,tiingo
2009-07-13,1.05325,UPRO,tiingo
2009-07-14,1.07485,UPRO,tiingo
2009-07-15,1.16675,UPRO,tiingo
2009-07-16,1.19798,UPRO,tiingo
2009-07-17,1.19591,UPRO,tiingo
2009-07-20,1.23221,UPRO,tiingo
2009-07-21,1.25265,UPRO,tiingo
2009-07-22,1.2503,UPRO,tiingo
2009-07-23,1.33335,UPRO,tiingo
2009-07-24,1.35079,UPRO,tiingo
2009-07-27,1.36225,UPRO,tiingo
2009-07-28,1.35066,UPRO,tiingo
2009-07-29,1.3327,UPRO,tiingo
2009-07-30,1.37435,UPRO,tiingo
2009-07-31,1.37839,UPRO,tiingo
2009-08-03,1.44776,UPRO,tiingo
2009-08-04,1.46169,UPRO,tiingo
2009-08-05,1.45128,UPRO,tiingo
2009-08-06,1.42407,UPRO,tiingo
2009-08-07,1.48056,UPRO,tiingo
2009-08-10,1.47028,UPRO,tiingo
2009-08-11,1.41431,UPRO,tiingo
2009-08-12,1.46351,UPRO,tiingo
2009-08-13,1.49656,UPRO,tiingo
2009-08-14,1.46078,UPRO,tiingo
2009-08-17,1.35223,UPRO,tiingo
2009-08-18,1.38932,UPRO,tiingo
2009-08-19,1.42121,UPRO,tiingo
2009-08-20,1.46767,UPRO,tiingo
2009-08-21,1.54968,UPRO,tiingo
2009-08-24,1.54941,UPRO,tiingo
2009-08-25,1.5597,UPRO,tiingo
2009-08-26,1.55931,UPRO,tiingo
2009-08-27,1.57376,UPRO,tiingo
2009-08-28,1.56816,UPRO,tiingo
2009-08-31,1.52963,UPRO,tiingo
2009-09-01,1.42512,UPRO,tiingo
2009-09-02,1.41158,UPRO,tiingo
2009-09-03,1.44282,UPRO,tiingo
2009-09-04,1.50595,UPRO,tiingo
2009-09-08,1.54551,UPRO,tiingo
2009-09-09,1.58183,UPRO,tiingo
2009-09-10,1.62998,UPRO,tiingo
2009-09-11,1.62764,UPRO,tiingo
2009-09-14,1.65511,UPRO,tiingo
2009-09-15,1.67397,UPRO,tiingo
2009-09-16,1.7483,UPRO,tiingo
2009-09-17,1.73997,UPRO,tiingo
2009-09-18,1.74505,UPRO,tiingo
2009-09-21,1.73034,UPRO,tiingo
2009-09-22,1.76288,UPRO,tiingo
2009-09-23,1.71563,UPRO,tiingo
2009-09-24,1.66022,UPRO,tiingo
2009-09-25,1.6347,UPRO,tiingo
2009-09-28,1.71986,UPRO,tiingo
2009-09-29,1.7101,UPRO,tiingo
2009-09-30,1.68757,UPRO,tiingo
2009-10-01,1.55995,UPRO,tiingo
2009-10-02,1.54264,UPRO,tiingo
2009-10-05,1.60709,UPRO,tiingo
2009-10-06,1.67781,UPRO,tiingo
2009-10-07,1.69065,UPRO,tiingo
2009-10-08,1.73159,UPRO,tiingo
2009-10-09,1.75932,UPRO,tiingo
2009-10-12,1.78198,UPRO,tiingo
2009-10-13,1.77248,UPRO,tiingo
2009-10-14,1.8626,UPRO,tiingo
2009-10-15,1.87939,UPRO,tiingo
2009-10-16,1.83915,UPRO,tiingo
2009-10-19,1.8846,UPRO,tiingo
2009-10-20,1.8566,UPRO,tiingo
2009-10-21,1.80581,UPRO,tiingo
2009-10-22,1.85739,UPRO,tiingo
2009-10-23,1.79565,UPRO,tiingo
2009-10-26,1.73236,UPRO,tiingo
2009-10-27,1.71127,UPRO,tiingo
2009-10-28,1.61529,UPRO,tiingo
2009-10-29,1.71779,UPRO,tiingo
2009-10-30,1.57115,UPRO,tiingo
2009-11-02,1.60305,UPRO,tiingo
2009-11-03,1.61882,UPRO,tiingo
2009-11-04,1.62741,UPRO,tiingo
2009-11-05,1.71973,UPRO,tiingo
2009-11-06,1.73654,UPRO,tiingo
2009-11-09,1.85309,UPRO,tiingo
2009-11-10,1.85152,UPRO,tiingo
2009-11-11,1.88238,UPRO,tiingo
2009-11-12,1.82248,UPRO,tiingo
2009-11-13,1.85569,UPRO,tiingo
2009-11-16,1.93499,UPRO,tiingo
2009-11-17,1.94203,UPRO,tiingo
2009-11-18,1.93942,UPRO,tiingo
2009-11-19,1.86324,UPRO,tiingo
2009-11-20,1.8467,UPRO,tiingo
2009-11-23,1.9152,UPRO,tiingo
2009-11-24,1.92015,UPRO,tiingo
2009-11-25,1.93994,UPRO,tiingo
2009-11-27,1.84619,UPRO,tiingo
2009-11-30,1.86637,UPRO,tiingo
2009-12-01,1.9277,UPRO,tiingo
2009-12-02,1.93317,UPRO,tiingo
2009-12-03,1.88707,UPRO,tiingo
2009-12-04,1.91689,UPRO,tiingo
2009-12-07,1.90803,UPRO,tiingo
2009-12-08,1.84788,UPRO,tiingo
2009-12-09,1.86376,UPRO,tiingo
2009-12-10,1.89619,UPRO,tiingo
2009-12-11,1.92419,UPRO,tiingo
2009-12-14,1.96026,UPRO,tiingo
2009-12-15,1.93161,UPRO,tiingo
2009-12-16,1.94033,UPRO,tiingo
2009-12-17,1.87262,UPRO,tiingo
2009-12-18,1.90218,UPRO,tiingo
2009-12-21,1.95765,UPRO,tiingo
2009-12-22,1.98096,UPRO,tiingo
2009-12-23,1.99461,UPRO,tiingo
2009-12-24,2.02588,UPRO,tiingo
2009-12-28,2.0393,UPRO,tiingo
2009-12-29,2.02588,UPRO,tiingo
2009-12-30,2.01963,UPRO,tiingo
2009-12-31,1.96333,UPRO,tiingo
2010-01-04,2.06211,UPRO,tiingo
2010-01-05,2.07983,UPRO,tiingo
2010-01-06,2.08582,UPRO,tiingo
2010-01-07,2.11123,UPRO,tiingo
2010-01-08,2.13183,UPRO,tiingo
2010-01-11,2.13938,UPRO,tiingo
2010-01-12,2.08126,UPRO,tiingo
2010-01-13,2.1343,UPRO,tiingo
2010-01-14,2.1502,UPRO,tiingo
2010-01-15,2.07892,UPRO,tiingo
2010-01-19,2.15684,UPRO,tiingo
2010-01-20,2.09156,UPRO,tiingo
2010-01-21,1.96907,UPRO,tiingo
2010-01-22,1.84137,UPRO,tiingo
2010-01-25,1.86404,UPRO,tiingo
2010-01-26,1.84058,UPRO,tiingo
2010-01-27,1.86808,UPRO,tiingo
2010-01-28,1.80267,UPRO,tiingo
2010-01-29,1.74364,UPRO,tiingo
2010-02-01,1.82521,UPRO,tiingo
2010-02-02,1.89284,UPRO,tiingo
2010-02-03,1.86469,UPRO,tiingo
2010-02-04,1.6936,UPRO,tiingo
2010-02-05,1.70337,UPRO,tiingo
2010-02-08,1.66676,UPRO,tiingo
2010-02-09,1.72696,UPRO,tiingo
2010-02-10,1.71745,UPRO,tiingo
2010-02-11,1.76891,UPRO,tiingo
2010-02-12,1.76407,UPRO,tiingo
2010-02-16,1.84841,UPRO,tiingo
2010-02-17,1.87421,UPRO,tiingo
2010-02-18,1.90965,UPRO,tiingo
2010-02-19,1.92213,UPRO,tiingo
2010-02-22,1.91904,UPRO,tiingo
2010-02-23,1.84997,UPRO,tiingo
2010-02-24,1.90196,UPRO,tiingo
2010-02-25,1.89557,UPRO,tiingo
2010-02-26,1.89948,UPRO,tiingo
2010-03-01,1.95669,UPRO,tiingo
2010-03-02,1.97025,UPRO,tiingo
2010-03-03,1.97806,UPRO,tiingo
2010-03-04,1.99552,UPRO,tiingo
2010-03-05,2.08231,UPRO,tiingo
2010-03-08,2.08205,UPRO,tiingo
2010-03-09,2.09246,UPRO,tiingo
2010-03-10,2.12088,UPRO,tiingo
2010-03-11,2.14824,UPRO,tiingo
2010-03-12,2.14667,UPRO,tiingo
2010-03-15,2.1502,UPRO,tiingo
2010-03-16,2.20153,UPRO,tiingo
2010-03-17,2.23933,UPRO,tiingo
2010-03-18,2.2375,UPRO,tiingo
2010-03-19,2.20114,UPRO,tiingo
2010-03-22,2.23698,UPRO,tiingo
2010-03-23,2.28624,UPRO,tiingo
2010-03-24,2.25332,UPRO,tiingo
2010-03-25,2.24003,UPRO,tiingo
2010-03-26,2.2412,UPRO,tiingo
2010-03-29,2.27965,UPRO,tiingo
2010-03-30,2.28369,UPRO,tiingo
2010-03-31,2.25854,UPRO,tiingo
2010-04-01,2.30651,UPRO,tiingo
2010-04-05,2.36086,UPRO,tiingo
2010-04-06,2.37807,UPRO,tiingo
2010-04-07,2.34039,UPRO,tiingo
2010-04-08,2.36086,UPRO,tiingo
2010-04-09,2.40754,UPRO,tiingo
2010-04-12,2.42109,UPRO,tiingo
2010-04-13,2.42865,UPRO,tiingo
2010-04-14,2.50647,UPRO,tiingo
2010-04-15,2.51611,UPRO,tiingo
2010-04-16,2.39593,UPRO,tiingo
2010-04-19,2.41835,UPRO,tiingo
2010-04-20,2.48413,UPRO,tiingo
2010-04-21,2.47037,UPRO,tiingo
2010-04-22,2.49318,UPRO,tiingo
2010-04-23,2.54232,UPRO,tiingo
2010-04-26,2.51259,UPRO,tiingo
2010-04-27,2.33466,UPRO,tiingo
2010-04-28,2.38498,UPRO,tiingo
2010-04-29,2.47636,UPRO,tiingo
2010-04-30,2.35069,UPRO,tiingo
2010-05-03,2.44507,UPRO,tiingo
2010-05-04,2.26857,UPRO,tiingo
2010-05-05,2.23077,UPRO,tiingo
2010-05-06,2.00854,UPRO,tiingo
2010-05-07,1.92,UPRO,tiingo
2010-05-10,2.16899,UPRO,tiingo
2010-05-11,2.15021,UPRO,tiingo
2010-05-12,2.24145,UPRO,tiingo
2010-05-13,2.15803,UPRO,tiingo
2010-05-14,2.0415,UPRO,tiingo
2010-05-17,2.04371,UPRO,tiingo
2010-05-18,1.96223,UPRO,tiingo
2010-05-19,1.9273,UPRO,tiingo
2010-05-20,1.70635,UPRO,tiingo
2010-05-21,1.76839,UPRO,tiingo
2010-05-24,1.71365,UPRO,tiingo
2010-05-25,1.71938,UPRO,tiingo
2010-05-26,1.6838,UPRO,tiingo
2010-05-27,1.85639,UPRO,tiingo
2010-05-28,1.783,UPRO,tiingo
2010-06-01,1.69709,UPRO,tiingo
2010-06-02,1.82692,UPRO,tiingo
2010-06-03,1.84583,UPRO,tiingo
2010-06-04,1.66033,UPRO,tiingo
2010-06-07,1.59164,UPRO,tiingo
2010-06-08,1.63778,UPRO,tiingo
2010-06-09,1.61302,UPRO,tiingo
2010-06-10,1.75837,UPRO,tiingo
2010-06-11,1.78144,UPRO,tiingo
2010-06-14,1.7757,UPRO,tiingo
2010-06-15,1.8938,UPRO,tiingo
2010-06-16,1.89211,UPRO,tiingo
2010-06-17,1.9011,UPRO,tiingo
2010-06-18,1.90697,UPRO,tiingo
2010-06-21,1.88833,UPRO,tiingo
2010-06-22,1.79728,UPRO,tiingo
2010-06-23,1.78031,UPRO,tiingo
2010-06-24,1.6926,UPRO,tiingo
2010-06-25,1.72497,UPRO,tiingo
2010-06-28,1.69495,UPRO,tiingo
2010-06-29,1.54067,UPRO,tiingo
2010-06-30,1.48742,UPRO,tiingo
2010-07-01,1.47789,UPRO,tiingo
2010-07-02,1.45218,UPRO,tiingo
2010-07-06,1.4792,UPRO,tiingo
2010-07-07,1.61886,UPRO,tiingo
2010-07-08,1.66636,UPRO,tiingo
2010-07-09,1.70239,UPRO,tiingo
2010-07-12,1.70735,UPRO,tiingo
2010-07-13,1.78475,UPRO,tiingo
2010-07-14,1.7841,UPRO,tiingo
2010-07-15,1.7854,UPRO,tiingo
2010-07-16,1.63778,UPRO,tiingo
2010-07-19,1.6682,UPRO,tiingo
2010-07-20,1.72132,UPRO,tiingo
2010-07-21,1.65657,UPRO,tiingo
2010-07-22,1.76569,UPRO,tiingo
2010-07-23,1.81112,UPRO,tiingo
2010-07-26,1.87011,UPRO,tiingo
2010-07-27,1.86646,UPRO,tiingo
2010-07-28,1.83134,UPRO,tiingo
2010-07-29,1.8042,UPRO,tiingo
2010-07-30,1.80237,UPRO,tiingo
2010-08-02,1.92415,UPRO,tiingo
2010-08-03,1.89739,UPRO,tiingo
2010-08-04,1.93472,UPRO,tiingo
2010-08-05,1.9278,UPRO,tiingo
2010-08-06,1.90391,UPRO,tiingo
2010-08-09,1.9342,UPRO,tiingo
2010-08-10,1.90626,UPRO,tiingo
2010-08-11,1.74899,UPRO,tiingo
2010-08-12,1.71727,UPRO,tiingo
2010-08-13,1.69834,UPRO,tiingo
2010-08-16,1.69782,UPRO,tiingo
2010-08-17,1.75629,UPRO,tiingo
2010-08-18,1.76856,UPRO,tiingo
2010-08-19,1.67772,UPRO,tiingo
2010-08-20,1.66219,UPRO,tiingo
2010-08-23,1.64,UPRO,tiingo
2010-08-24,1.56991,UPRO,tiingo
2010-08-25,1.58284,UPRO,tiingo
2010-08-26,1.5519,UPRO,tiingo
2010-08-27,1.62499,UPRO,tiingo
2010-08-30,1.55529,UPRO,tiingo
2010-08-31,1.55973,UPRO,tiingo
2010-09-01,1.69456,UPRO,tiingo
2010-09-02,1.74193,UPRO,tiingo
2010-09-03,1.80812,UPRO,tiingo
2010-09-07,1.75055,UPRO,tiingo
2010-09-08,1.78462,UPRO,tiingo
2010-09-09,1.80967,UPRO,tiingo
2010-09-10,1.83787,UPRO,tiingo
2010-09-13,1.89781,UPRO,tiingo
2010-09-14,1.89361,UPRO,tiingo
2010-09-15,1.91827,UPRO,tiingo
2010-09-16,1.91475,UPRO,tiingo
2010-09-17,1.91619,UPRO,tiingo
2010-09-20,2.00728,UPRO,tiingo
2010-09-21,1.991,UPRO,tiingo
2010-09-22,1.9658,UPRO,tiingo
2010-09-23,1.91589,UPRO,tiingo
2010-09-24,2.03072,UPRO,tiingo
2010-09-27,2.00525,UPRO,tiingo
2010-09-28,2.02641,UPRO,tiingo
2010-09-29,2.01151,UPRO,tiingo
2010-09-30,1.99558,UPRO,tiingo
2010-10-01,2.02092,UPRO,tiingo
2010-10-04,1.97676,UPRO,tiingo
2010-10-05,2.09393,UPRO,tiingo
2010-10-06,2.09538,UPRO,tiingo
2010-10-07,2.08702,UPRO,tiingo
2010-10-08,2.11994,UPRO,tiingo
2010-10-11,2.127,UPRO,tiingo
2010-10-12,2.14803,UPRO,tiingo
2010-10-13,2.19467,UPRO,tiingo
2010-10-14,2.18016,UPRO,tiingo
2010-10-15,2.18591,UPRO,tiingo
2010-10-18,2.15535,UPRO,tiingo
2010-10-19,2.1253,UPRO,tiingo
2010-10-20,2.19166,UPRO,tiingo
2010-10-21,2.20342,UPRO,tiingo
2010-10-22,2.22014,UPRO,tiingo
2010-10-25,2.23372,UPRO,tiingo
2010-10-26,2.23647,UPRO,tiingo
2010-10-27,2.21922,UPRO,tiingo
2010-10-28,2.22249,UPRO,tiingo
2010-10-29,2.22392,UPRO,tiingo
2010-11-01,2.22589,UPRO,tiingo
2010-11-02,2.27645,UPRO,tiingo
2010-11-03,2.30596,UPRO,tiingo
2010-11-04,2.43843,UPRO,tiingo
2010-11-05,2.47057,UPRO,tiingo
2010-11-08,2.45567,UPRO,tiingo
2010-11-09,2.40028,UPRO,tiingo
2010-11-10,2.42772,UPRO,tiingo
2010-11-11,2.39807,UPRO,tiingo
2010-11-12,2.31432,UPRO,tiingo
2010-11-15,2.30596,UPRO,tiingo
2010-11-16,2.19754,UPRO,tiingo
2010-11-17,2.20093,UPRO,tiingo
2010-11-18,2.29734,UPRO,tiingo
2010-11-19,2.31485,UPRO,tiingo
2010-11-22,2.31132,UPRO,tiingo
2010-11-23,2.20773,UPRO,tiingo
2010-11-24,2.30375,UPRO,tiingo
2010-11-26,2.24352,UPRO,tiingo
2010-11-29,2.24796,UPRO,tiingo
2010-11-30,2.20563,UPRO,tiingo
2010-12-01,2.34856,UPRO,tiingo
2010-12-02,2.43999,UPRO,tiingo
2010-12-03,2.45894,UPRO,tiingo
2010-12-06,2.45097,UPRO,tiingo
2010-12-07,2.45489,UPRO,tiingo
2010-12-08,2.4818,UPRO,tiingo
2010-12-09,2.51394,UPRO,tiingo
2010-12-10,2.55704,UPRO,tiingo
2010-12-13,2.56214,UPRO,tiingo
2010-12-14,2.56789,UPRO,tiingo
2010-12-15,2.53198,UPRO,tiingo
2010-12-16,2.57612,UPRO,tiingo
2010-12-17,2.58723,UPRO,tiingo
2010-12-20,2.60003,UPRO,tiingo
2010-12-21,2.65032,UPRO,tiingo
2010-12-22,2.6771,UPRO,tiingo
2010-12-23,2.66495,UPRO,tiingo
2010-12-27,2.66495,UPRO,tiingo
2010-12-28,2.67971,UPRO,tiingo
2010-12-29,2.68611,UPRO,tiingo
2010-12-30,2.67553,UPRO,tiingo
2010-12-31,2.67684,UPRO,tiingo
2011-01-03,2.7547,UPRO,tiingo
2011-01-04,2.74607,UPRO,tiingo
2011-01-05,2.79258,UPRO,tiingo
2011-01-06,2.77612,UPRO,tiingo
2011-01-07,2.76097,UPRO,tiingo
2011-01-10,2.75221,UPRO,tiingo
2011-01-11,2.77821,UPRO,tiingo
2011-01-12,2.85633,UPRO,tiingo
2011-01-13,2.84705,UPRO,tiingo
2011-01-14,2.89656,UPRO,tiingo
2011-01-18,2.91903,UPRO,tiingo
2011-01-19,2.91564,UPRO,tiingo
2011-01-20,2.82145,UPRO,tiingo
2011-01-21,2.84327,UPRO,tiingo
2011-01-24,2.88742,UPRO,tiingo
2011-01-25,2.89121,UPRO,tiingo
2011-01-26,2.92608,UPRO,tiingo
2011-01-27,2.94634,UPRO,tiingo
2011-01-28,2.79072,UPRO,tiingo
2011-01-31,2.85254,UPRO,tiingo
2011-02-01,2.98867,UPRO,tiingo
2011-02-02,2.97216,UPRO,tiingo
2011-02-03,2.99101,UPRO,tiingo
