date,adj_open,adj_close,name,source
1885-03,,1.34949,TB3MS,github-csv+er
1885-04,,1.35216,TB3MS,github-csv+er
1885-05,,1.35483,TB3MS,github-csv+er
1885-06,,1.3575,TB3MS,github-csv+er
1885-07,,1.36014,TB3MS,github-csv+er
1885-08,,1.36279,TB3MS,github-csv+er
1885-09,,1.36542,TB3MS,github-csv+er
1885-10,,1.36804,TB3MS,github-csv+er
1885-11,,1.37066,TB3MS,github-csv+er
1885-12,,1.37326,TB3MS,github-csv+er
1886-01,,1.37588,TB3MS,github-csv+er
1886-02,,1.37853,TB3MS,github-csv+er
1886-03,,1.38119,TB3MS,github-csv+er
1886-04,,1.38387,TB3MS,github-csv+er
1886-05,,1.38656,TB3MS,github-csv+er
1886-06,,1.38929,TB3MS,github-csv+er
1886-07,,1.39203,TB3MS,github-csv+er
1886-08,,1.39479,TB3MS,github-csv+er
1886-09,,1.39758,TB3MS,github-csv+er
1886-10,,1.40037,TB3MS,github-csv+er
1886-11,,1.40319,TB3MS,github-csv+er
1886-12,,1.40603,TB3MS,github-csv+er
1887-01,,1.4089,TB3MS,github-csv+er
1887-02,,1.41178,TB3MS,github-csv+er
1887-03,,1.41468,TB3MS,github-csv+er
1887-04,,1.41761,TB3MS,github-csv+er
1887-05,,1.42055,TB3MS,github-csv+er
1887-06,,1.42351,TB3MS,github-csv+er
1887-07,,1.42649,TB3MS,github-csv+er
1887-08,,1.4295,TB3MS,github-csv+er
1887-09,,1.43253,TB3MS,github-csv+er
1887-10,,1.43558,TB3MS,github-csv+er
1887-11,,1.43864,TB3MS,github-csv+er
1887-12,,1.44174,TB3MS,github-csv+er
1888-01,,1.44482,TB3MS,github-csv+er
1888-02,,1.44789,TB3MS,github-csv+er
1888-03,,1.45094,TB3MS,github-csv+er
1888-04,,1.45397,TB3MS,github-csv+er
1888-05,,1.45698,TB3MS,github-csv+er
1888-06,,1.45999,TB3MS,github-csv+er
1888-07,,1.46297,TB3MS,github-csv+er
1888-08,,1.46593,TB3MS,github-csv+er
1888-09,,1.46888,TB3MS,github-csv+er
1888-10,,1.47181,TB3MS,github-csv+er
1888-11,,1.47472,TB3MS,github-csv+er
1888-12,,1.47764,TB3MS,github-csv+er
1889-01,,1.48055,TB3MS,github-csv+er
1889-02,,1.48345,TB3MS,github-csv+er
1889-03,,1.48636,TB3MS,github-csv+er
1889-04,,1.48927,TB3MS,github-csv+er
1889-05,,1.49218,TB3MS,github-csv+er
1889-06,,1.49509,TB3MS,github-csv+er
1889-07,,1.498,TB3MS,github-csv+er
1889-08,,1.50093,TB3MS,github-csv+er
1889-09,,1.50387,TB3MS,github-csv+er
1889-10,,1.50679,TB3MS,github-csv+er
1889-11,,1.50972,TB3MS,github-csv+er
1889-12,,1.51265,TB3MS,github-csv+er
1890-01,,1.5156,TB3MS,github-csv+er
1890-02,,1.51858,TB3MS,github-csv+er
1890-03,,1.52159,TB3MS,github-csv+er
1890-04,,1.52462,TB3MS,github-csv+er
1890-05,,1.52771,TB3MS,github-csv+er
1890-06,,1.5308,TB3MS,github-csv+er
1890-07,,1.53392,TB3MS,github-csv+er
1890-08,,1.53706,TB3MS,github-csv+er
1890-09,,1.54024,TB3MS,github-csv+er
1890-10,,1.54344,TB3MS,github-csv+er
1890-11,,1.54667,TB3MS,github-csv+er
1890-12,,1.54993,TB3MS,github-csv+er
1891-01,,1.55319,TB3MS,github-csv+er
1891-02,,1.55646,TB3MS,github-csv+er
1891-03,,1.55974,TB3MS,github-csv+er
1891-04,,1.56302,TB3MS,github-csv+er
1891-05,,1.5663,TB3MS,github-csv+er
1891-06,,1.56959,TB3MS,github-csv+er
1891-07,,1.57288,TB3MS,github-csv+er
1891-08,,1.57618,TB3MS,github-csv+er
1891-09,,1.57949,TB3MS,github-csv+er
1891-10,,1.58279,TB3MS,github-csv+er
1891-11,,1.58611,TB3MS,github-csv+er
1891-12,,1.58943,TB3MS,github-csv+er
1892-01,,1.59277,TB3MS,github-csv+er
1892-02,,1.59613,TB3MS,github-csv+er
1892-03,,1.59952,TB3MS,github-csv+er
1892-04,,1.60293,TB3MS,github-csv+er
1892-05,,1.60637,TB3MS,github-csv+er
1892-06,,1.60983,TB3MS,github-csv+er
1892-07,,1.61331,TB3MS,github-csv+er
1892-08,,1.61682,TB3MS,github-csv+er
1892-09,,1.62036,TB3MS,github-csv+er
1892-10,,1.62392,TB3MS,github-csv+er
1892-11,,1.6275,TB3MS,github-csv+er
1892-12,,1.63111,TB3MS,github-csv+er
1893-01,,1.63471,TB3MS,github-csv+er
1893-02,,1.63832,TB3MS,github-csv+er
1893-03,,1.64193,TB3MS,github-csv+er
1893-04,,1.64555,TB3MS,github-csv+er
1893-05,,1.64918,TB3MS,github-csv+er
1893-06,,1.6528,TB3MS,github-csv+er
1893-07,,1.65643,TB3MS,github-csv+er
1893-08,,1.66005,TB3MS,github-csv+er
1893-09,,1.66368,TB3MS,github-csv+er
1893-10,,1.66731,TB3MS,github-csv+er
1893-11,,1.67093,TB3MS,github-csv+er
1893-12,,1.67456,TB3MS,github-csv+er
1894-01,,1.67818,TB3MS,github-csv+er
1894-02,,1.68178,TB3MS,github-csv+er
1894-03,,1.68536,TB3MS,github-csv+er
1894-04,,1.68891,TB3MS,github-csv+er
1894-05,,1.69245,TB3MS,github-csv+er
1894-06,,1.69596,TB3MS,github-csv+er
1894-07,,1.69946,TB3MS,github-csv+er
1894-08,,1.70293,TB3MS,github-csv+er
1894-09,,1.70638,TB3MS,github-csv+er
1894-10,,1.70981,TB3MS,github-csv+er
1894-11,,1.71322,TB3MS,github-csv+er
1894-12,,1.7166,TB3MS,github-csv+er
1895-01,,1.72,TB3MS,github-csv+er
1895-02,,1.72343,TB3MS,github-csv+er
1895-03,,1.72688,TB3MS,github-csv+er
1895-04,,1.73036,TB3MS,github-csv+er
1895-05,,1.73386,TB3MS,github-csv+er
1895-06,,1.73739,TB3MS,github-csv+er
1895-07,,1.74094,TB3MS,github-csv+er
1895-08,,1.74451,TB3MS,github-csv+er
1895-09,,1.7481,TB3MS,github-csv+er
1895-10,,1.75172,TB3MS,github-csv+er
1895-11,,1.75537,TB3MS,github-csv+er
1895-12,,1.75904,TB3MS,github-csv+er
1896-01,,1.76269,TB3MS,github-csv+er
1896-02,,1.76633,TB3MS,github-csv+er
1896-03,,1.76996,TB3MS,github-csv+er
1896-04,,1.77357,TB3MS,github-csv+er
1896-05,,1.77716,TB3MS,github-csv+er
1896-06,,1.78073,TB3MS,github-csv+er
1896-07,,1.78428,TB3MS,github-csv+er
1896-08,,1.78781,TB3MS,github-csv+er
1896-09,,1.79133,TB3MS,github-csv+er
1896-10,,1.79483,TB3MS,github-csv+er
1896-11,,1.79831,TB3MS,github-csv+er
1896-12,,1.80178,TB3MS,github-csv+er
1897-01,,1.80523,TB3MS,github-csv+er
1897-02,,1.80869,TB3MS,github-csv+er
1897-03,,1.81216,TB3MS,github-csv+er
1897-04,,1.81562,TB3MS,github-csv+er
1897-05,,1.81908,TB3MS,github-csv+er
1897-06,,1.82254,TB3MS,github-csv+er
1897-07,,1.82601,TB3MS,github-csv+er
1897-08,,1.82948,TB3MS,github-csv+er
1897-09,,1.83294,TB3MS,github-csv+er
1897-10,,1.83641,TB3MS,github-csv+er
1897-11,,1.83987,TB3MS,github-csv+er
1897-12,,1.84334,TB3MS,github-csv+er
1898-01,,1.84678,TB3MS,github-csv+er
1898-02,,1.8502,TB3MS,github-csv+er
1898-03,,1.85359,TB3MS,github-csv+er
1898-04,,1.85695,TB3MS,github-csv+er
1898-05,,1.86029,TB3MS,github-csv+er
1898-06,,1.8636,TB3MS,github-csv+er
1898-07,,1.86689,TB3MS,github-csv+er
1898-08,,1.87015,TB3MS,github-csv+er
1898-09,,1.87338,TB3MS,github-csv+er
1898-10,,1.87658,TB3MS,github-csv+er
1898-11,,1.87977,TB3MS,github-csv+er
1898-12,,1.88291,TB3MS,github-csv+er
1899-01,,1.88607,TB3MS,github-csv+er
1899-02,,1.88924,TB3MS,github-csv+er
1899-03,,1.89243,TB3MS,github-csv+er
1899-04,,1.89562,TB3MS,github-csv+er
1899-05,,1.89883,TB3MS,github-csv+er
1899-06,,1.90205,TB3MS,github-csv+er
1899-07,,1.90528,TB3MS,github-csv+er
1899-08,,1.90852,TB3MS,github-csv+er
1899-09,,1.91177,TB3MS,github-csv+er
1899-10,,1.91504,TB3MS,github-csv+er
1899-11,,1.91832,TB3MS,github-csv+er
1899-12,,1.92162,TB3MS,github-csv+er
1900-01,,1.92491,TB3MS,github-csv+er
1900-02,,1.9282,TB3MS,github-csv+er
1900-03,,1.93149,TB3MS,github-csv+er
1900-04,,1.93478,TB3MS,github-csv+er
1900-05,,1.93806,TB3MS,github-csv+er
1900-06,,1.94135,TB3MS,github-csv+er
1900-07,,1.94464,TB3MS,github-csv+er
1900-08,,1.94792,TB3MS,github-csv+er
1900-09,,1.9512,TB3MS,github-csv+er
1900-10,,1.95449,TB3MS,github-csv+er
1900-11,,1.95778,TB3MS,github-csv+er
1900-12,,1.96107,TB3MS,github-csv+er
1901-01,,1.96436,TB3MS,github-csv+er
1901-02,,1.96767,TB3MS,github-csv+er
1901-03,,1.971,TB3MS,github-csv+er
1901-04,,1.97434,TB3MS,github-csv+er
1901-05,,1.97771,TB3MS,github-csv+er
1901-06,,1.98107,TB3MS,github-csv+er
1901-07,,1.98447,TB3MS,github-csv+er
1901-08,,1.98788,TB3MS,github-csv+er
1901-09,,1.99131,TB3MS,github-csv+er
1901-10,,1.99476,TB3MS,github-csv+er
1901-11,,1.99821,TB3MS,github-csv+er
1901-12,,2.00169,TB3MS,github-csv+er
1902-01,,2.00519,TB3MS,github-csv+er
1902-02,,2.00871,TB3MS,github-csv+er
1902-03,,2.01226,TB3MS,github-csv+er
1902-04,,2.01584,TB3MS,github-csv+er
1902-05,,2.01943,TB3MS,github-csv+er
1902-06,,2.02305,TB3MS,github-csv+er
1902-07,,2.0267,TB3MS,github-csv+er
1902-08,,2.03036,TB3MS,github-csv+er
1902-09,,2.03405,TB3MS,github-csv+er
1902-10,,2.03775,TB3MS,github-csv+er
1902-11,,2.04149,TB3MS,github-csv+er
1902-12,,2.04525,TB3MS,github-csv+er
1903-01,,2.04904,TB3MS,github-csv+er
1903-02,,2.05283,TB3MS,github-csv+er
1903-03,,2.05666,TB3MS,github-csv+er
1903-04,,2.0605,TB3MS,github-csv+er
1903-05,,2.06437,TB3MS,github-csv+er
1903-06,,2.06825,TB3MS,github-csv+er
1903-07,,2.07216,TB3MS,github-csv+er
1903-08,,2.0761,TB3MS,github-csv+er
1903-09,,2.08004,TB3MS,github-csv+er
1903-10,,2.08402,TB3MS,github-csv+er
1903-11,,2.08801,TB3MS,github-csv+er
1903-12,,2.09204,TB3MS,github-csv+er
1904-01,,2.09608,TB3MS,github-csv+er
1904-02,,2.10012,TB3MS,github-csv+er
1904-03,,2.10421,TB3MS,github-csv+er
1904-04,,2.1083,TB3MS,github-csv+er
1904-05,,2.11243,TB3MS,github-csv+er
1904-06,,2.11656,TB3MS,github-csv+er
1904-07,,2.12071,TB3MS,github-csv+er
1904-08,,2.12489,TB3MS,github-csv+er
1904-09,,2.12909,TB3MS,github-csv+er
1904-10,,2.1333,TB3MS,github-csv+er
1904-11,,2.13754,TB3MS,github-csv+er
1904-12,,2.14179,TB3MS,github-csv+er
1905-01,,2.14605,TB3MS,github-csv+er
1905-02,,2.15032,TB3MS,github-csv+er
1905-03,,2.15457,TB3MS,github-csv+er
1905-04,,2.15883,TB3MS,github-csv+er
1905-05,,2.1631,TB3MS,github-csv+er
1905-06,,2.16737,TB3MS,github-csv+er
1905-07,,2.17162,TB3MS,github-csv+er
1905-08,,2.17589,TB3MS,github-csv+er
1905-09,,2.18016,TB3MS,github-csv+er
1905-10,,2.18443,TB3MS,github-csv+er
1905-11,,2.18868,TB3MS,github-csv+er
1905-12,,2.19296,TB3MS,github-csv+er
1906-01,,2.19728,TB3MS,github-csv+er
1906-02,,2.20162,TB3MS,github-csv+er
1906-03,,2.20603,TB3MS,github-csv+er
1906-04,,2.21048,TB3MS,github-csv+er
1906-05,,2.21497,TB3MS,github-csv+er
1906-06,,2.21951,TB3MS,github-csv+er
1906-07,,2.22409,TB3MS,github-csv+er
1906-08,,2.22872,TB3MS,github-csv+er
1906-09,,2.23341,TB3MS,github-csv+er
1906-10,,2.23813,TB3MS,github-csv+er
1906-11,,2.2429,TB3MS,github-csv+er
1906-12,,2.24772,TB3MS,github-csv+er
1907-01,,2.25258,TB3MS,github-csv+er
1907-02,,2.25749,TB3MS,github-csv+er
1907-03,,2.26243,TB3MS,github-csv+er
1907-04,,2.26742,TB3MS,github-csv+er
1907-05,,2.27246,TB3MS,github-csv+er
1907-06,,2.27753,TB3MS,github-csv+er
1907-07,,2.28265,TB3MS,github-csv+er
1907-08,,2.2878,TB3MS,github-csv+er
1907-09,,2.293,TB3MS,github-csv+er
1907-10,,2.29825,TB3MS,github-csv+er
1907-11,,2.30354,TB3MS,github-csv+er
1907-12,,2.30889,TB3MS,github-csv+er
1908-01,,2.31422,TB3MS,github-csv+er
1908-02,,2.31954,TB3MS,github-csv+er
1908-03,,2.32486,TB3MS,github-csv+er
1908-04,,2.33017,TB3MS,github-csv+er
1908-05,,2.33548,TB3MS,github-csv+er
1908-06,,2.34079,TB3MS,github-csv+er
1908-07,,2.34609,TB3MS,github-csv+er
1908-08,,2.35138,TB3MS,github-csv+er
1908-09,,2.35667,TB3MS,github-csv+er
1908-10,,2.36194,TB3MS,github-csv+er
1908-11,,2.36723,TB3MS,github-csv+er
1908-12,,2.37249,TB3MS,github-csv+er
1909-01,,2.37779,TB3MS,github-csv+er
1909-02,,2.38314,TB3MS,github-csv+er
1909-03,,2.3885,TB3MS,github-csv+er
1909-04,,2.39393,TB3MS,github-csv+er
1909-05,,2.39937,TB3MS,github-csv+er
1909-06,,2.40485,TB3MS,github-csv+er
1909-07,,2.41039,TB3MS,github-csv+er
1909-08,,2.41595,TB3MS,github-csv+er
1909-09,,2.42154,TB3MS,github-csv+er
1909-10,,2.42719,TB3MS,github-csv+er
1909-11,,2.43286,TB3MS,github-csv+er
1909-12,,2.43857,TB3MS,github-csv+er
1910-01,,2.44432,TB3MS,github-csv+er
1910-02,,2.45009,TB3MS,github-csv+er
1910-03,,2.45588,TB3MS,github-csv+er
1910-04,,2.4617,TB3MS,github-csv+er
1910-05,,2.46755,TB3MS,github-csv+er
1910-06,,2.47341,TB3MS,github-csv+er
1910-07,,2.47931,TB3MS,github-csv+er
1910-08,,2.48524,TB3MS,github-csv+er
1910-09,,2.49118,TB3MS,github-csv+er
1910-10,,2.49716,TB3MS,github-csv+er
1910-11,,2.50315,TB3MS,github-csv+er
1910-12,,2.50918,TB3MS,github-csv+er
1911-01,,2.51524,TB3MS,github-csv+er
1911-02,,2.5213,TB3MS,github-csv+er
1911-03,,2.52739,TB3MS,github-csv+er
1911-04,,2.53349,TB3MS,github-csv+er
1911-05,,2.53963,TB3MS,github-csv+er
1911-06,,2.54577,TB3MS,github-csv+er
1911-07,,2.55193,TB3MS,github-csv+er
1911-08,,2.55812,TB3MS,github-csv+er
1911-09,,2.56433,TB3MS,github-csv+er
1911-10,,2.57057,TB3MS,github-csv+er
1911-11,,2.57682,TB3MS,github-csv+er
1911-12,,2.58309,TB3MS,github-csv+er
1912-01,,2.58945,TB3MS,github-csv+er
1912-02,,2.5959,TB3MS,github-csv+er
1912-03,,2.60245,TB3MS,github-csv+er
1912-04,,2.6091,TB3MS,github-csv+er
